model,rows,sha256,prediction_file,exists,link
Qwen3.5-9B SFT epoch2 4fps,1600,aafcaec3e7dc5a8a62d6e8773dafe93b8754ec9fd30837261fae5a81c104a3d1,predictions/qwen3_5_9b_sft_epoch2_4fps.jsonl,True,predictions/qwen3_5_9b_sft_epoch2_4fps.jsonl
Qwen3.5-9B SFT epoch3 4fps,1600,63f59dbbee3f41b59add93e9d0fc8897fad3f10bb46a12a69782986a4d1c14e7,predictions/qwen3_5_9b_sft_epoch3_4fps.jsonl,True,predictions/qwen3_5_9b_sft_epoch3_4fps.jsonl
Qwen3.5-4B,875,c8aee39d99056c1ef2c835af5b52b1adc81634dba7af8c5c30d14a7f075c31de,predictions/qwen3_5_4b.jsonl,True,predictions/qwen3_5_4b.jsonl
Qwen3-VL-8B,875,66f1364a2d343111efee537980d93beaf5cc4dd084915b00451ce5262daeab1a,predictions/qwen3_vl_8b.jsonl,True,predictions/qwen3_vl_8b.jsonl
GLM-4.6V-Flash,875,2e9885fff9b92f0598376971c4b6066012a5585e50a06a0c539450b0beea9611,predictions/glm_4_6v_flash.jsonl,True,predictions/glm_4_6v_flash.jsonl
InternVL3.5-38B,875,ab63d4da9b4cf48f7ac8408898505eb72db7fe5ff69f94e2241459d489ea1ab4,predictions/internvl3_5_38b.jsonl,True,predictions/internvl3_5_38b.jsonl
MiMo-VL-7B,874,5312eb1825fe34a56c7bbe7148485ffa6eac85610ac56c0f3ccc755dfbbd9a8e,predictions/mimo_vl_7b.jsonl,True,predictions/mimo_vl_7b.jsonl
Cosmos3-Nano-Reasoner,875,82485312b1e9984e8564d12d0661c609b689b657a02aec1d43db1504e01cc09c,predictions/cosmos3_nano_reasoner.jsonl,True,predictions/cosmos3_nano_reasoner.jsonl
Cosmos-Reason2-32B,875,49c0f6f48793fed57fe8e9ebe45cd72e0e2893a6311074caf12ebe8a24ce79f4,predictions/cosmos_reason2_32b.jsonl,True,predictions/cosmos_reason2_32b.jsonl
Cosmos-Reason2-2B,875,e4754eacdde46d034978944891570185c6c81028579aacc952fa3284f889b9ca,predictions/cosmos_reason2_2b.jsonl,True,predictions/cosmos_reason2_2b.jsonl
MiMo-Embodied-7B,875,738a8e65464b79951a3ebfa0e8d39119f5c047f584d6ddfbbf1caa5e8735ae05,predictions/mimo_embodied_7b.jsonl,True,predictions/mimo_embodied_7b.jsonl
RynnBrain-1.1-9B,875,703bf0b2c8fecf176e58dd9f6f92b3f4f15c0ceafb9136037f3aa4779e70f682,predictions/rynnbrain_1_1_9b.jsonl,True,predictions/rynnbrain_1_1_9b.jsonl
RoboBrain2.5-8B,875,0e8cc2b7a4adf8dbc7d68d122d00fe4e818b84128addbfd3a8215cf87c497286,predictions/robobrain2_5_8b.jsonl,True,predictions/robobrain2_5_8b.jsonl
Orca-4B,875,0a1720f4d4c8363d1a26996f3eaced11bd12ccc0c1084dc4f16335404d80b2e1,predictions/orca_4b.jsonl,True,predictions/orca_4b.jsonl
VideoScore2-8B,875,486206927a70ed1bbfb1e6e5e446b415f0d14792883c132309ed892ffc4fefdd,predictions/videoscore2_8b.jsonl,True,predictions/videoscore2_8b.jsonl
VideoPhy-2-7B,875,b10b8d719cb61ad6fd68c5d3bd47f14e089f58719dbbbc60f394bcda1517b1d1,predictions/videophy_2_7b.jsonl,True,predictions/videophy_2_7b.jsonl
VideoCon-7B,875,f7984dc5d3923ecc87d86ec081f5da27d9caf57c827c0ec52a78f20a49e5db0b,predictions/videocon_7b.jsonl,True,predictions/videocon_7b.jsonl
WBench-30B-A3B,875,b055419645e685f3415e2cbf5c392529d764dd1c2dc6bdc5adce775de4e04ad3,predictions/wbench_30b_a3b.jsonl,True,predictions/wbench_30b_a3b.jsonl
PhyJudge-9B,875,d568ecea095cc364c0428c89c640aefbbfa924a749c574fbe3b25fddadcc3089,predictions/phyjudge_9b.jsonl,True,predictions/phyjudge_9b.jsonl
RoboJudge-9B SFT,1600,e164f037cf9a839b9ece3a6fc6a4e80f2a0802c79356a52b51cb72fd78a6ca53,predictions/robojudge_sft_latest.jsonl,True,predictions/robojudge_sft_latest.jsonl
RoboJudge-9B RL old,1600,25c1c9f47a5b620b625fedb9a0f9ba042d95aab928a389be2f2e4cf3639dc50f,predictions/robojudge_rl_latest.jsonl,True,predictions/robojudge_rl_latest.jsonl
RoboJudge-9B submission,1600,bc2b480131e4a5be14b8228040c42e92ee452b7b964e3fdbfbfcc21d45648cde,predictions/robojudge_submission.jsonl,True,predictions/robojudge_submission.jsonl
